age,bmi,gender_num,activity_num,fitness_num,stress_num,meal_type_num,calorie_gap,protein_gap,calorie_ratio,is_vegetarian,is_vegan,is_diabetic,is_gluten_free,meals_per_day,sleep_quality,meal_calories,meal_protein,meal_carbs,meal_fat,meal_fiber,within_meal_class_band,accepted,goal_lose_weight,goal_gain_muscle,goal_maintain,goal_improve_health,goal_athletic_performance
70,25.3,1,4,1,3,2,790.4,50.1,0.4,0,0,0,1,4,1,527.0,21.3,83.5,12.0,5.3,1,1,1,0,0,0,0
17,21.3,0,3,2,2,2,1119.6,76.0,0.255,1,0,0,0,4,1,383.7,9.1,77.4,4.2,3.0,1,1,0,0,0,0,1
60,41.5,1,1,3,2,4,1563.7,35.0,0.226,1,0,0,0,2,0,456.9,7.6,100.6,2.7,1.2,1,1,1,0,0,0,0
18,45.2,1,4,1,1,3,2867.3,95.0,0.047,0,0,0,0,3,0,141.4,2.1,23.3,4.4,0.7,1,1,1,0,0,0,0
35,28.4,1,4,2,2,2,2210.7,-17.3,0.211,1,1,0,0,4,1,591.3,10.9,102.0,15.5,2.8,1,1,0,1,0,0,0
65,28.8,0,5,1,2,4,1185.4,2.0,0.283,1,0,0,0,3,0,467.5,19.2,69.3,12.6,2.1,1,1,0,0,0,0,1
36,17.9,0,2,1,2,2,1573.9,42.0,0.257,0,0,0,0,2,1,544.9,27.8,98.2,4.6,0.7,1,1,1,0,0,0,0
40,25.8,1,5,1,2,2,1108.4,24.7,0.291,0,0,1,0,3,0,455.4,22.5,83.8,3.3,3.0,1,1,0,0,1,0,0
47,18.0,1,1,1,3,3,2018.9,9.1,0.055,0,0,0,0,3,0,117.5,8.7,14.4,2.8,1.0,1,1,0,1,0,0,0
36,27.4,0,5,2,2,4,1415.3,69.8,0.29,1,0,0,0,3,0,578.3,15.9,85.4,19.2,1.4,1,1,1,0,0,0,0
20,16.0,0,2,1,1,4,843.5,89.7,0.414,0,0,0,0,3,0,597.0,28.9,97.9,10.0,4.1,1,1,0,1,0,0,0
67,26.4,1,3,1,2,4,2750.8,-1.1,0.123,0,0,0,0,3,1,386.1,27.9,61.3,3.3,0.6,1,1,0,0,1,0,0
41,25.8,0,3,1,1,4,2741.6,14.6,0.101,0,0,0,0,2,1,307.5,23.0,36.0,7.9,1.6,1,1,1,0,0,0,0
60,24.7,0,4,1,3,2,2457.7,25.4,0.199,0,0,0,0,3,0,609.2,31.2,92.5,12.7,2.6,1,1,0,0,1,0,0
43,41.6,0,1,2,2,2,1232.5,39.8,0.326,1,0,1,0,3,1,596.3,43.1,77.1,12.9,6.4,1,1,0,0,1,0,0
56,29.1,0,3,1,3,3,2899.3,-14.8,0.048,1,1,0,0,4,1,146.2,9.2,22.7,2.1,0.5,1,1,0,0,1,0,0
27,30.6,0,3,3,2,2,1010.8,33.0,0.389,1,0,0,0,3,0,644.7,38.0,80.2,19.1,7.6,1,1,0,1,0,0,0
42,16.2,0,1,2,2,3,1497.3,-15.3,0.076,1,0,0,0,2,0,122.3,8.3,14.9,3.3,1.0,1,1,1,0,0,0,0
44,12.7,1,4,2,2,4,1243.4,75.5,0.309,1,0,0,0,4,0,555.9,10.6,91.4,16.4,0.9,1,1,0,0,0,0,1
26,31.0,1,4,2,2,2,1318.5,98.1,0.311,0,0,1,0,3,0,596.4,20.4,111.3,7.7,6.9,1,1,0,0,1,0,0
33,15.6,1,1,1,2,4,1765.2,52.4,0.208,0,0,1,0,3,0,464.8,15.2,83.2,7.9,3.2,1,1,0,0,0,1,0
39,17.9,0,1,2,3,4,2003.1,95.9,0.201,0,0,0,0,3,1,503.1,38.4,56.1,13.9,3.0,1,1,0,0,1,0,0
52,26.2,1,2,2,1,4,753.5,25.6,0.434,0,0,0,0,3,1,577.4,14.1,106.6,10.5,7.9,1,1,1,0,0,0,0
33,19.0,1,2,3,1,3,2503.4,-2.3,0.066,1,0,0,0,2,0,175.9,7.9,32.9,1.4,0.3,1,1,0,1,0,0,0
68,19.5,1,1,1,2,1,1329.5,83.7,0.111,0,0,0,0,4,1,166.6,5.8,29.8,2.7,2.0,1,1,0,0,1,0,0
57,35.1,1,3,1,2,2,1079.5,95.2,0.263,1,1,0,0,4,0,385.2,26.6,50.7,8.4,2.2,1,1,0,0,1,0,0
62,28.1,0,4,2,2,2,2267.5,34.3,0.167,1,0,0,0,2,0,453.4,7.5,74.7,13.8,6.5,1,0,0,1,0,0,0
36,39.7,1,2,2,1,1,1252.1,72.6,0.06,0,0,0,0,3,1,79.6,2.6,16.1,0.5,0.1,1,1,0,1,0,0,0
41,26.5,1,1,1,1,2,1832.4,-21.4,0.21,0,0,0,0,2,1,486.8,29.2,61.0,14.0,5.0,1,1,0,0,0,0,1
43,31.6,1,2,2,3,2,2225.5,63.7,0.155,1,1,0,0,2,0,407.3,34.2,49.2,8.2,4.8,1,1,1,0,0,0,0
17,18.0,0,1,2,2,4,1972.7,70.5,0.131,0,0,0,0,4,1,297.7,22.9,44.7,3.0,0.7,1,1,1,0,0,0,0
70,31.4,1,2,1,4,4,1367.1,44.3,0.208,1,0,1,0,4,0,359.4,29.2,49.0,5.2,4.5,1,1,0,0,0,1,0
41,30.6,1,4,1,1,3,1539.8,46.9,0.084,0,0,0,0,4,0,141.5,5.0,23.1,3.2,1.0,1,1,0,1,0,0,0
31,34.5,1,1,1,3,3,1144.5,38.9,0.122,1,0,1,0,3,1,158.3,12.1,18.3,4.1,0.2,1,1,0,0,0,1,0
30,21.5,0,5,1,1,4,980.5,3.9,0.32,1,0,0,0,3,1,461.7,20.8,61.0,14.9,1.6,1,1,1,0,0,0,0
30,13.8,1,4,1,1,3,1935.9,4.5,0.066,1,0,0,0,4,1,136.5,11.6,19.1,1.5,0.6,1,1,0,1,0,0,0
69,41.7,0,5,1,1,2,867.5,30.1,0.362,0,0,0,1,3,1,491.5,22.8,70.9,12.9,1.8,1,1,1,0,0,0,0
68,33.8,0,3,2,2,1,3077.3,80.1,0.037,0,0,0,0,2,1,117.3,7.2,14.8,3.3,0.2,1,1,0,0,0,1,0
52,20.7,0,1,2,1,2,1316.4,54.1,0.278,0,0,0,0,2,1,506.1,12.0,88.8,11.4,4.7,1,1,1,0,0,0,0
24,46.1,0,3,2,3,4,2390.7,35.3,0.142,1,0,0,0,3,1,394.9,21.1,60.8,7.5,5.4,1,1,0,0,0,1,0
46,35.7,0,5,1,3,1,2416.8,91.6,0.122,0,0,0,0,3,0,334.9,18.6,40.3,11.0,2.0,1,1,1,0,0,0,0
60,11.6,0,3,3,2,2,2256.1,-25.1,0.219,1,0,1,0,3,0,633.6,54.0,75.0,13.1,1.4,1,1,0,0,1,0,0
28,20.6,1,4,3,1,2,2125.0,92.5,0.233,1,1,0,0,3,0,646.3,49.8,64.9,20.8,3.0,1,1,1,0,0,0,0
43,17.1,0,5,2,4,2,1929.5,-6.9,0.248,1,0,0,0,4,1,635.1,26.0,95.7,16.5,2.4,1,1,0,0,0,1,0
54,32.2,0,1,2,4,1,1407.3,62.2,0.197,0,0,0,0,3,1,344.9,8.7,54.2,10.4,0.5,1,1,1,0,0,0,0
60,39.0,1,3,1,2,2,2458.1,32.3,0.175,0,0,0,0,3,1,522.6,21.4,84.9,10.8,0.8,1,1,0,1,0,0,0
67,25.7,1,5,1,1,1,2018.9,32.8,0.137,1,0,0,0,3,1,320.5,6.2,58.0,7.1,2.9,1,0,0,1,0,0,0
37,19.4,1,3,3,2,3,1702.4,16.9,0.028,1,0,0,0,3,1,48.9,2.7,6.3,1.4,0.1,1,1,0,0,1,0,0
29,37.8,1,2,1,3,3,1335.2,28.0,0.094,1,0,0,0,2,1,137.9,3.6,21.5,4.2,0.8,1,1,0,1,0,0,0
60,30.3,1,3,3,2,4,2441.0,84.6,0.145,0,0,1,0,2,1,414.0,21.8,54.1,12.3,2.9,1,1,0,0,1,0,0
49,44.1,1,1,3,4,2,1003.7,-10.8,0.273,0,0,0,0,2,1,377.4,24.1,60.8,4.2,4.7,1,1,0,0,0,1,0
51,36.4,0,3,3,1,4,1185.9,-17.0,0.217,1,0,0,0,3,0,327.9,18.0,47.9,7.1,4.7,1,1,0,0,1,0,0
32,27.1,0,2,1,2,4,809.0,89.7,0.411,0,0,1,0,3,1,564.7,21.1,104.6,6.9,6.0,1,1,0,0,1,0,0
69,26.8,0,5,1,2,3,1696.9,77.1,0.063,0,0,0,0,2,1,115.0,7.0,19.0,1.2,0.4,1,1,0,0,1,0,0
26,31.2,1,1,3,3,2,2542.6,16.8,0.142,1,0,0,0,2,0,420.3,7.1,91.9,2.7,0.3,1,0,1,0,0,0,0
31,26.4,0,5,1,2,3,2559.0,44.4,0.06,0,0,0,0,3,1,164.0,5.6,29.4,2.7,0.4,1,1,0,1,0,0,0
42,33.1,1,3,1,1,1,1488.7,5.8,0.137,0,0,0,0,3,1,236.4,19.7,25.9,6.0,2.5,1,1,1,0,0,0,0
59,13.4,0,5,3,3,3,1807.6,82.0,0.032,1,0,0,0,3,1,59.5,1.0,9.4,2.0,0.6,1,0,0,0,1,0,0
31,30.4,1,3,2,3,4,2832.2,62.0,0.114,0,0,0,0,3,0,363.0,15.9,61.5,5.9,0.2,1,1,0,0,1,0,0
56,25.9,0,3,2,3,2,1343.4,88.6,0.277,0,0,0,0,3,1,514.8,35.0,63.9,13.2,4.3,1,1,0,0,0,1,0
63,40.3,0,2,2,2,1,2716.9,35.1,0.078,0,0,0,0,2,0,229.2,19.1,34.3,1.7,3.1,1,1,1,0,0,0,0
25,17.8,1,5,3,4,2,2259.3,-29.4,0.187,1,0,0,0,3,0,520.7,31.1,86.8,5.4,5.0,1,1,1,0,0,0,0
65,32.6,1,2,1,2,2,2005.7,-27.7,0.254,1,0,0,0,3,1,682.5,54.2,75.6,18.1,4.2,1,1,1,0,0,0,0
40,45.0,0,2,1,3,3,1960.3,67.5,0.077,1,0,0,1,3,0,163.6,3.7,25.0,5.4,1.2,1,0,0,0,1,0,0
24,26.4,1,1,1,3,3,2613.2,78.7,0.055,1,1,0,0,3,1,152.2,8.7,27.0,1.0,0.2,1,1,1,0,0,0,0
25,28.0,1,2,2,3,2,1431.3,72.0,0.317,0,0,0,0,4,0,664.5,33.8,98.4,15.1,2.3,1,1,1,0,0,0,0
38,16.9,0,2,1,4,1,1238.4,93.4,0.065,0,0,1,0,3,0,85.8,1.8,15.5,1.8,0.6,1,1,0,1,0,0,0
45,17.6,0,4,3,3,3,2048.5,-12.0,0.029,0,0,0,0,4,1,60.9,4.6,6.4,1.8,0.0,1,1,0,1,0,0,0
62,25.2,1,1,1,2,4,2332.2,-22.4,0.173,0,0,0,0,4,1,487.6,35.2,77.1,4.2,5.1,1,1,0,0,0,1,0
52,29.7,0,2,1,3,2,1697.0,55.1,0.235,1,0,0,0,4,1,520.8,41.2,68.2,9.3,0.5,1,1,0,0,0,1,0
58,32.5,0,3,1,3,4,1038.0,91.5,0.344,0,0,0,0,3,1,544.5,43.2,65.2,12.3,0.1,1,1,0,1,0,0,0
47,47.7,0,1,1,2,2,944.3,11.1,0.349,0,0,0,1,3,1,505.5,28.0,89.2,4.0,3.8,1,1,0,1,0,0,0
51,29.8,1,5,2,3,4,2709.4,42.8,0.128,0,0,0,0,3,1,396.3,6.6,82.0,4.7,2.7,1,1,0,0,1,0,0
64,32.5,1,3,2,2,1,1279.4,-16.1,0.078,0,0,0,0,3,1,107.6,2.5,18.3,2.7,1.2,1,1,0,1,0,0,0
68,14.9,1,2,3,3,4,1700.5,65.7,0.216,0,0,0,0,4,0,468.6,23.6,59.5,15.1,0.0,1,1,0,0,1,0,0
